subject_id	object_id	object_id	predicate_id	predicate_id	mapping_justification	mapping_justification	match_string	mapping_tool	mapping_date
HP:0031013	NCIT:C171941	mesh:D000844	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003090	umls_ingest	2023-11-27
HP:0030784	NCIT:C34386	mesh:D000849	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003113	umls_ingest	2023-11-27
HP:0000528	NCIT:C98814	mesh:D000853	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003119	umls_ingest	2023-11-27
HP:0002039	NCIT:C2875	mesh:D000855	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003123	umls_ingest	2023-11-27
HP:0000458	NCIT:C116369	mesh:D000086582	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003126	umls_ingest	2023-11-27
HP:0033375	NCIT:C34390	mesh:D055008	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003165	umls_ingest	2023-11-27
HP:0100519	NCIT:C114699	mesh:D001002	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003460	umls_ingest	2023-11-27
HP:0032186	NCIT:C2877	mesh:D001005	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003463	umls_ingest	2023-11-27
HP:0002023	NCIT:C84784	mesh:D001006	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003466	umls_ingest	2023-11-27
HP:0000739	NCIT:C26696	mesh:D001007	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003467	umls_ingest	2023-11-27
HP:0004942	NCIT:C26697	mesh:D001014	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003486	umls_ingest	2023-11-27
HP:0001680	NCIT:C84567	mesh:D001017	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003492	umls_ingest	2023-11-27
HP:0004381	NCIT:C85176	mesh:D021921	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003499	umls_ingest	2023-11-27
HP:0001659	NCIT:C50861	mesh:D001022	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003504	umls_ingest	2023-11-27
HP:0001659	NCIT:C51223	mesh:D001022	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003504	umls_ingest	2023-11-27
HP:0001650	NCIT:C50462	mesh:D001024	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003507	umls_ingest	2023-11-27
HP:0011604	NCIT:C101050	mesh:D001028	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003516	umls_ingest	2023-11-27
HP:0002381	NCIT:C34393	mesh:D001037	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003537	umls_ingest	2023-11-27
HP:0002427	NCIT:C34394	mesh:D001039	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003550	umls_ingest	2023-11-27
HP:0001686	NCIT:C79539	mesh:D001044	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003564	umls_ingest	2023-11-27
HP:0002104	NCIT:C26698	mesh:D001049	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003578	umls_ingest	2023-11-27
HP:0002186	NCIT:C180557	mesh:D001072	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003635	umls_ingest	2023-11-27
HP:0040192	NCIT:C188218	mesh:D001079	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003650	umls_ingest	2023-11-27
HP:0002308	NCIT:C84570	mesh:D001139	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003803	umls_ingest	2023-11-27
HP:0011675	NCIT:C2881	mesh:D001145	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003811	umls_ingest	2023-11-27
HP:0002634	NCIT:C34398	mesh:D001161	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003850	umls_ingest	2023-11-27
HP:0004947	NCIT:C36192	mesh:D001164	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003855	umls_ingest	2023-11-27
HP:0012089	NCIT:C34399	mesh:D001167	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003860	umls_ingest	2023-11-27
HP:0002829	NCIT:C50464	mesh:D018771	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003862	umls_ingest	2023-11-27
HP:0001369	NCIT:C2883	mesh:D001168	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003864	umls_ingest	2023-11-27
HP:0003095	NCIT:C26700	mesh:D001170	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003869	umls_ingest	2023-11-27
HP:0001370	NCIT:C2884	mesh:D001172	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003873	umls_ingest	2023-11-27
