subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
hp:HP:0001166	mesh:D054119	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003706	umls_ingest	2023-09-06
hp:HP:0001519	mesh:D054119	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003706	umls_ingest	2023-09-06
hp:HP:0001084	mesh:D001112	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003742	umls_ingest	2023-09-06
hp:HP:0002308	mesh:D001139	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003803	umls_ingest	2023-09-06
hp:HP:0011675	mesh:D001145	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003811	umls_ingest	2023-09-06
hp:HP:0004950	mesh:D001157	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003838	umls_ingest	2023-09-06
hp:HP:0002634	mesh:D001161	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003850	umls_ingest	2023-09-06
hp:HP:0004947	mesh:D001164	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003855	umls_ingest	2023-09-06
hp:HP:0100026	mesh:D001165	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003857	umls_ingest	2023-09-06
hp:HP:0012089	mesh:D001167	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003860	umls_ingest	2023-09-06
hp:HP:0002829	mesh:D018771	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003862	umls_ingest	2023-09-06
hp:HP:0001369	mesh:D001168	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003864	umls_ingest	2023-09-06
hp:HP:0001997	mesh:D015210	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003868	umls_ingest	2023-09-06
hp:HP:0003095	mesh:D001170	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003869	umls_ingest	2023-09-06
hp:HP:0001370	mesh:D001172	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003873	umls_ingest	2023-09-06
hp:HP:0002804	mesh:D001176	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003886	umls_ingest	2023-09-06
hp:HP:0002821	mesh:D001177	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003892	umls_ingest	2023-09-06
hp:HP:0001541	mesh:D001201	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003962	umls_ingest	2023-09-06
